"source_database","labnr","bp","std","cal_bp","cal_std","delta_c13","lab_name","site","site_phase","site_type","feature","feature_type","periods","typochronological_units","ecochronological_units","material","species","country","lat","lng","references"
"radon","KIA-29539","4095","30","4600","190","","","Wolpertswende, Schreckensee","Wolpertswende, Schreckensee","","","","","Goldberg III | Late Neolithic/Early Bronze Age","","plant remains","plant macrofossils, Cereals","Germany                                                                                             ","47.880000000000003","9.5600000000000005",""
"radon","Hd-7973-8318","4950","55","5682","172","","","Wallhausen-Ziegelhütte","Wallhausen-Ziegelhütte","","","","","Horgen | Pfyn","","wood","wood","Germany                                                                                             ","47.733699999999999","9.1694999999999993",""
"radon","Hd-7971-8309","4980","30","5698","139","","","Wallhausen-Ziegelhütte","Wallhausen-Ziegelhütte","","","","","Horgen | Pfyn","","wood","wood, Corylus sp.","Germany                                                                                             ","47.733699999999999","9.1694999999999993",""
"radon","Hd-22699","4460","18","5193","204","","","Wallhausen-Ziegelhütte","Wallhausen-Ziegelhütte","","","","","Horgen | Pfyn","","charcoal","charcoal","Germany                                                                                             ","47.733699999999999","9.1694999999999993",""
"radon","Hd-22692","4495","22","5171","117","","","Wallhausen-Ziegelhütte","Wallhausen-Ziegelhütte","","","","","Horgen | Pfyn","","charcoal","charcoal","Germany                                                                                             ","47.733699999999999","9.1694999999999993",""
"radon","ETH-1648","3995","70","4472","294","0.0","","Hünenberg-Chämleten, Strandbad","Hünenberg-Chämleten, Strandbad","settlement","Lehmlinse 12 mit Keramik der Horgener Kultur.","","frühes","Horgen | Cortaillod","","charcoal","","Switzerland                                                                                         ","47.175400000000003","8.4250000000000007",""
"radon","CRC-280","6500","80","7407","144","0.0","","Sion, Planta","Sion, Planta","settlement","Siedlungsschicht unterlagernde Schicht 8.","","Early","Neolithikum","","","","Switzerland                                                                                         ","46.229100000000003","7.3593999999999999",""
"radon","CRC-569","6080","80","6950","208","0.0","","Sion, Sous-le-Scex","Sion, Sous-le-Scex","settlement","Schicht 26A mit Haustierknochen.","","","","","","","Switzerland                                                                                         ","46.229100000000003","7.3593999999999999",""
"radon","ETH-1650","4085","75","4607","204","0.0","","Hünenberg-Chämleten, Strandbad","Hünenberg-Chämleten, Strandbad","settlement","Lehmlinse 12 mit Keramik der Horgener Kultur.","","frühes","Horgen | Cortaillod","","charcoal","","Switzerland                                                                                         ","47.175400000000003","8.4250000000000007",""
"radonb","Bln-3126","","","","","","","Buhuberg","Buhuberg","","","","Věteřov Group","Early Bronze Age | Únětice","","","","Austria                                                                                             ","48.444099999999999","16.846499999999999",""
